location,year,date,gradient_number,plot,aerial_basal,estimated_total,added_total,rock,dung,moss,lichen,mushroom,litter,bareground,final_total,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,COVI,OPPO,ALTE,ALDE,ANOC,ANPA,CAMI,COUM,COCA,ERHO,HEHI,LASE,LEDE,LOAR,LOFO,MILI,MUDI,PHHO,PLPA,POAV,PSTE,SPCO,TAOF,TRDU,VIAM,ARCA,LIIN,JUTE_2020,POSE,OESU
TB,2021,6/28/2021,7,47,aerial,36,40.5,,,,0.5,,50,10,101,,2,7,3,,10,3,,2,,12,,,,,0.25,,,,,,,,,,,,,,,0.25,,,1,,,,,,,,
TB,2021,6/28/2021,7,7,aerial,42,44.75,3,0.5,0.25,8,,5,42,103.5,,20,2,,1,8,2,0.25,2,,3,0.5,,,,0.5,,0.5,,,,4,,,,0.5,,,,,0.25,,,0.5,,,,,,,,
TB,2021,6/28/2021,7,17,aerial,45,48.5,,1,,5,,25,20,99.5,,9,7,0.25,,11,5,,3,,8,,,,,0.25,,,,,,,,,,0.25,,,,,0.25,,,0.5,,,,,,,4,
TB,2021,6/28/2021,7,27,aerial,34,31,,15,,5,,28,20,99,,8,7,1,,10,3,0.25,,,,,,,,0.25,,,,,,,,,,0.25,,,,,0.25,,,1,,,,,,,,
TB,2021,6/28/2021,7,37,aerial,43,44.25,,0.25,,3,,30,20,97.5,,12,11,2,,8,3,0.25,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
TB,2021,6/28/2021,8,28,aerial,30,31.5,,6,2,5,,29,25,98.5,,10,7,0.25,,5,4,,2,,,,,3,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
TB,2021,6/28/2021,8,8,aerial,40,39.5,7,0.5,,9,,8,38,102,,25,0.5,,,7,5,,,,,,,,,0.25,,,,,,,,,,0.25,,,,,0.5,,,1,,,,,,,,
TB,2021,6/28/2021,8,48,aerial,50,49.75,,0.25,,,,40,12,102,,5,13,0.5,,7,4,0.25,2,,,,,17,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,
TB,2021,6/28/2021,8,18,aerial,38,37,3,4,,4,,18,30,96,,12,7,2,,9,4,,1,,,,,,,0.5,,,,,,,,,,0.25,,,,,0.5,,,0.5,,,,,,,,
TB,2021,6/28/2021,8,38,aerial,47,50.5,,5,,,,25,20,100.5,,7,19,3,,8,3,,6,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,4,,,,,,,,
TB,2021,6/28/2021,5,45,aerial,45,48,0,0,0,0,0,30,20,98,,8,,27,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TB,2021,6/28/2021,5,25,aerial,30,32.25,0,5,0,0.25,0,22,42,101.5,,5,1,9,4,3,2,,1,7,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/28/2021,5,35,aerial,43,47,,,1,1,,40,12,101,,7,1,13,4,3,3,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/28/2021,5,15,aerial,33,36.25,0,0,0,3,0,20,42,101.25,,7,1,6,4,8,2,,2,5,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.25
TB,2021,6/28/2021,5,5,aerial,30,33.75,4,0.5,3,5,0,4,53,103,,21,1,0.5,1,6,1,0.5,1,,1,,,,,,,,,,,0.25,,,0.25,,,,,,0.25,,,,,,,,,,,
TB,2021,6/28/2021,6,6,aerial,37,37,2,1,8,7,0,7,40,102,1,15,1,1,1,11,1,0.5,,2,3,,,,,,,,,,,,,,,,,,,,0.25,,,0.25,,,,,,,,
TB,2021,6/28/2021,6,46,aerial,35,36,0,0,0,0,0,50,15,101,,6,0.5,20,,4,5,,,,,,,0.25,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
TB,2021,6/28/2021,6,16,aerial,30,33.75,0,0,0,3,0,35,30,98.75,,4,0.25,12,4,6,2,0.25,,4,,,,1,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/28/2021,6,26,aerial,28,31.5,,,,0.5,,30,35,97,,,,10,3,,1,0.25,5,12,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/28/2021,6,36,aerial,25,25.25,,,,,,55,20,100.25,,,0.25,19,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,3,33,aerial,30,30.5,,,,5,,43,23,101.5,,8,8,,,4,1,,6,,,,,2,,0.25,,,,,,,,,,,,,,,0.25,,,1,,,,,,,,
TB,2021,6/29/2021,3,43,aerial,25,24.75,,4,,0.25,,60,15,104,,2,10,,,5,6,,1,,,,,0.5,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
TB,2021,6/29/2021,3,3,aerial,40,39.75,2,8,,4,,10,40,103.75,,15,4,,,15,3,,,,,,,2,,0.25,,,,,,,,,,,,,,,0.25,,,0.25,,,,,,,,
TB,2021,6/29/2021,3,13,aerial,37,38.25,,3,2,1,,22,33,99.25,,11,8,,,9,2,0.25,3,,,,,4,,,,,,,,,0.25,,,,,,,,0.25,,,0.5,,,,,,,,
TB,2021,6/29/2021,3,23,aerial,38,40.75,,0.5,,2,,43,17,103.25,,7,8,,,16,5,,4,,,,,,,0.25,,,,,,,0.25,,,0.25,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,1,31,aerial,31,33.75,1,,,,,12,55,101.75,,3,0.5,6,8,2,3,,1,5,,,,2,,0.25,,,,,,,,,,,,,,,,,,3,,,,,,,,
TB,2021,6/29/2021,1,41,aerial,38,40.5,2,1,,1,,33,20,97.5,3,,,12,5,3,4,0.25,3,,5,3,,1,,,,,,,,,,,,0.25,,,,,,,,1,,,,,,,,
TB,2021,6/29/2021,1,21,aerial,40,39.75,3,,,2,,12,48,104.75,,10,1,4,,15,3,0.25,1,,1,,,3,,,,,,,,,,,,0.25,,,,,,,,1,,,,,,,,
TB,2021,6/29/2021,1,1,aerial,35,38.25,,1,,3,,13,49,104.25,,18,,1,,10,4,1,3,,,,,,,,,,,,,,,,,,,,,,0.25,,,1,,,,,,,,
TB,2021,6/29/2021,1,11,aerial,37,39.25,,1,1,2,,22,38,103.25,6,3,1,5,,6,2,0.5,1,,6,4,,,,,,,,,,,,,0.25,0.25,,,,,,0.25,,1,,,,,,,,
TB,2021,6/29/2021,4,14,aerial,38,41.5,1,1,6,3,,18,30,100.5,,10,3,6,2,9,1,0.5,,,3,,,2,,0.25,,,,1,,1,,,,,,,,,0.5,,,2,,,,0.25,,,,
TB,2021,6/29/2021,4,4,aerial,40,42.75,7,4,5,5,,5,35,103.75,,25,1,1,,8,2,0.5,3,,,3,,2,,0.25,,,,,,,,,0.25,0.25,,,,,0.5,,,0.25,,,,,,,,
TB,2021,6/29/2021,4,34,aerial,23,23.5,5,2,,,,17,55,102.5,,3,0.5,8,3,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,4,44,aerial,33,32,1,,,,,35,33,101,,2,0.5,11,5,1,4,0.25,4,2,,,,4,,,,,,1,,,,,,0.25,,,,,,,,2,,,,,0.25,,,
TB,2021,6/29/2021,4,24,aerial,33,32.25,3,3,3,2,,25,35,103.25,,4,0.5,12,6,6,1,0.25,,,,,,,,,,,,,,0.5,,,,0.25,,,,,0.5,,,,,,,,0.25,,,
TB,2021,6/29/2021,2,2,aerial,35,37.75,12,,,9,,10,30,98.75,,12,7,,,3,3,,4,,,,,,,3,,,0.25,,,0.5,,,,,,,,,0.5,,,,,,4,,,,,
TB,2021,6/29/2021,2,12,aerial,38,39,2,0.5,,5,,25,25,96.5,,25,8,,,1,1,,,,,,,,,,,,,,,,,,,0.25,,,,,0.5,,,3,,,,,,,,
TB,2021,6/29/2021,2,32,aerial,27,29.75,1,,,1,,65,8,104.75,,7,9,,,,4,,6,,,,,,,1,1,,0.25,,,,,,,,,,,,0.5,,,1,,,,,,,,
TB,2021,6/29/2021,2,22,aerial,36,34.75,5,,,3,,11,50,103.75,,9,9,0.25,,,4,,5,,,,,,,4,,,,,,,,,,0.25,,,,,0.5,,,1,,,2,,,,,
TB,2021,6/29/2021,2,42,aerial,30,34,,7,,1,,45,12,99,,10,15,,,,2,,4,,,,,,,1,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,
TB,2021,6/29/2021,9,19,aerial,37,40,,,3,5,,10,40,98,,3,,10,6,15,3,0.25,2,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.5,,,,,,,,
TB,2021,6/29/2021,9,39,aerial,35,37,,,,0.25,,35,28,100.25,,3,,17,3,5,1,,2,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,9,49,aerial,31,29.5,,0.5,,,,48,20,98,,2,0.25,20,,,2,,2,,,,,3,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,9,29,aerial,30,33.5,,2,,3,,22,42,102.5,,6,,14,2,4,4,,1,,,0.5,,1,,,,,,,,,,,0.25,,,,,,0.25,,,0.5,,,,,,,,
TB,2021,6/29/2021,9,9,aerial,50,49,0.5,8,1,5,,8,33,104.5,,18,0.25,3,,19,2,0.25,,,,1,,4,,,,,,,,,,,0.25,,,,,,0.25,,,1,,,,,,,,
TB,2021,6/29/2021,10,10,aerial,55,57.75,,2,,,,15,30,104.75,,12,0.25,3,2,15,1,1,1,20,,1,,,,,,,,,,,,,,0.25,,,,,1,,,,,,,,,,,
TB,2021,6/29/2021,10,20,aerial,60,57.75,,1,,,,28,12,99,,4,1,15,,14,2,,2,,,5,,,,,10,,,,,,,,,0.25,,,,,,,,,,,,,,,,
TB,2021,6/29/2021,10,30,aerial,30,30,,,,,,55,12,97,,,4,13,,,3,,9,,,,,,0.25,,,,,,,,0.25,,,0.25,,,,,,,,0.5,,,,,,,,
TB,2021,6/29/2021,10,50,aerial,40,42.75,,,,,,50,10,102.75,,2,10,12,,5,5,,7,,,,,,0.25,0.25,,,,,,,,,,0.25,,,,,0.5,,,,,,,,,,,
TB,2021,6/29/2021,10,40,aerial,38,38.5,,10,,,,45,9,102.5,,,16,6,,4,4,,8,,,,,,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,
