site,plot,plot_type,invasion_percent,plot_name,invasive_type,gradient_number,phone_lat,phone_long,garmin_lat,garmin_long
TB,1,O,0,TB-Inv-O-0%-Plot 1,BRTE,1,NULL,NULL,NULL,NULL
TB,2,O,0,TB-Inv-O-0%-Plot 2,BRAR,2,NULL,NULL,NULL,NULL
TB,3,O,0,TB-Inv-O-0%-Plot 3,BRAR,3,NULL,NULL,NULL,NULL
TB,4,O,0,TB-Inv-O-0%-Plot 4,BRTE,4,NULL,NULL,NULL,NULL
TB,5,O,0,TB-Inv-O-0%-Plot 5,BRTE,5,NULL,NULL,NULL,NULL
TB,6,O,0,TB-Inv-O-0%-Plot 6,BRTE,6,NULL,NULL,NULL,NULL
TB,7,O,0,TB-Inv-O-0%-Plot 7,BRAR,7,NULL,NULL,NULL,NULL
TB,8,O,0,TB-Inv-O-0%-Plot 8,BRAR,8,NULL,NULL,NULL,NULL
TB,9,O,0,TB-Inv-O-0%-Plot 9,BRTE,9,NULL,NULL,NULL,NULL
TB,10,O,0,TB-Inv-O-0%-Plot 10,BRAR,10,NULL,NULL,NULL,NULL
TB,11,O,25,TB-Inv-O-0%-Plot 11,BRTE,1,NULL,NULL,NULL,NULL
TB,12,O,25,TB-Inv-O-25%-Plot 12,BRAR,2,NULL,NULL,NULL,NULL
TB,13,O,25,TB-Inv-O-25%-Plot 13,BRAR,3,NULL,NULL,NULL,NULL
TB,14,O,25,TB-Inv-O-25%-Plot 14,BRTE,4,NULL,NULL,NULL,NULL
TB,15,O,25,TB-Inv-O-25%-Plot 15,BRTE,5,NULL,NULL,NULL,NULL
TB,16,O,25,TB-Inv-O-25%-Plot 16,BRTE,6,NULL,NULL,NULL,NULL
TB,17,O,25,TB-Inv-O-25%-Plot 17,BRAR,7,NULL,NULL,NULL,NULL
TB,18,O,25,TB-Inv-O-25%-Plot 18,BRAR,8,NULL,NULL,NULL,NULL
TB,19,O,25,TB-Inv-O-25%-Plot 19,BRTE,9,NULL,NULL,NULL,NULL
TB,20,O,25,TB-Inv-O-25%-Plot 20,BRAR,10,NULL,NULL,NULL,NULL
TB,21,O,50,TB-Inv-O-50%-Plot 21,BRTE,1,NULL,NULL,NULL,NULL
TB,22,O,50,TB-Inv-O-50%-Plot 22,BRAR,2,NULL,NULL,NULL,NULL
TB,23,O,50,TB-Inv-O-50%-Plot 23,BRAR,3,NULL,NULL,NULL,NULL
TB,24,O,50,TB-Inv-O-50%-Plot 24,BRTE,4,NULL,NULL,NULL,NULL
TB,25,O,50,TB-Inv-O-50%-Plot 25,BRTE,5,NULL,NULL,NULL,NULL
TB,26,O,50,TB-Inv-O-50%-Plot 26,BRTE,6,NULL,NULL,NULL,NULL
TB,27,O,50,TB-Inv-O-50%-Plot 27,BRAR,7,NULL,NULL,NULL,NULL
TB,28,O,50,TB-Inv-O-50%-Plot 28,BRAR,8,NULL,NULL,NULL,NULL
TB,29,O,50,TB-Inv-O-50%-Plot 29,BRTE,9,NULL,NULL,NULL,NULL
TB,30,O,50,TB-Inv-O-50%-Plot 30,BRAR,10,NULL,NULL,NULL,NULL
TB,31,O,75,TB-Inv-O-75%-Plot 31,BRTE,1,NULL,NULL,NULL,NULL
TB,32,O,75,TB-Inv-O-75%-Plot 32,BRAR,2,NULL,NULL,NULL,NULL
TB,33,O,75,TB-Inv-O-75%-Plot 33,BRAR,3,NULL,NULL,NULL,NULL
TB,34,O,75,TB-Inv-O-75%-Plot 34,BRTE,4,NULL,NULL,NULL,NULL
TB,35,O,75,TB-Inv-O-75%-Plot 35,BRTE,5,NULL,NULL,NULL,NULL
TB,36,O,75,TB-Inv-O-75%-Plot 36,BRTE,6,NULL,NULL,NULL,NULL
TB,37,O,75,TB-Inv-O-75%-Plot 37,BRAR,7,NULL,NULL,NULL,NULL
TB,38,O,75,TB-Inv-O-75%-Plot 38,BRAR,8,NULL,NULL,NULL,NULL
TB,39,O,75,TB-Inv-O-75%-Plot 39,BRTE,9,NULL,NULL,NULL,NULL
TB,40,O,75,TB-Inv-O-75%-Plot 40,BRAR,10,NULL,NULL,NULL,NULL
TB,41,O,100,TB-Inv-O-100%-Plot 41,BRTE,1,NULL,NULL,NULL,NULL
TB,42,O,100,TB-Inv-O-100%-Plot 42,BRAR,2,NULL,NULL,NULL,NULL
TB,43,O,100,TB-Inv-O-100%-Plot 43,BRAR,3,NULL,NULL,NULL,NULL
TB,44,O,100,TB-Inv-O-100%-Plot 44,BRTE,4,NULL,NULL,NULL,NULL
TB,45,O,100,TB-Inv-O-100%-Plot 45,BRTE,5,NULL,NULL,NULL,NULL
TB,46,O,100,TB-Inv-O-100%-Plot 46,BRTE,6,NULL,NULL,NULL,NULL
TB,47,O,100,TB-Inv-O-100%-Plot 47,BRAR,7,NULL,NULL,NULL,NULL
TB,48,O,100,TB-Inv-O-100%-Plot 48,BRAR,8,NULL,NULL,NULL,NULL
TB,49,O,100,TB-Inv-O-100%-Plot 49,BRTE,9,NULL,NULL,NULL,NULL
TB,50,O,100,TB-Inv-O-100%-Plot 50,BRAR,10,NULL,NULL,NULL,NULL